,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
83,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2422905.33736
84,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2416852.16033
85,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2421290.57971
86,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2420328.95522
87,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2423420.89402
88,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2423450.02511
89,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2421691.10999
90,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2420592.5577
91,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2410310.21438
92,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2416216.43836
93,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2423586.2069
94,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2422296.0
95,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2411763.49892
96,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2421031.90596
97,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2416131.63371
98,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2418763.43546
99,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2424217.52266
100,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2420102.5641
101,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2420940.54054
