  2.849282] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.088969] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.095439] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.101919] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.108391] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.114878] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.121369] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.127846] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.134333] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.140811] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.147287] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.153766] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.160238] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.166712] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.173185] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.179673] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.186148] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.192631] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.199106] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.205589] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.212075] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.218560] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.225046] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.231529] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.238015] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.244492] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.250966] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.257445] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.263921] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.270399] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.276877] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.283353] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.289823] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.296310] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.302794] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.309274] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.315743] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.322221] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.328715] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.335190] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.341662] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.348141] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.354617] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.361104] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.367581] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.374061] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.380540] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.387021] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.393490] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.399970] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.406449] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.412937] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.419417] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.425915] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.432405] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.438891] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.445373] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.451859] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.458338] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
