mplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.841124] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.847589] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.854054] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.860519] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.866981] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.873433] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.879887] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.886336] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.892795] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.899252] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.905713] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.912179] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.918640] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.925101] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.931557] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.938004] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.944451] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.950913] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.957378] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.963833] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.970302] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.976750] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.983198] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    2.989649] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    2.996106] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
