    2.003116] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.406678] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.412981] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.419287] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.425592] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.431903] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.438219] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.444533] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.450840] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.457151] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.463456] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.469757] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.476062] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.482369] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.488667] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.494968] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.501270] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.507574] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.513881] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.520178] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.526479] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.532780] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.539084] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.545384] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.551693] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.557995] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.564295] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.570594] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.576896] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.583204] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.589508] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.595810] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.602111] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.608417] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.614717] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.621018] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.627326] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.633632] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.639937] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.646246] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.652549] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.658856] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.665150] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.671441] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.677730] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.684023] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.690313] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.696601] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.702888] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.709177] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.715474] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.721766] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.728060] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.734349] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.740634] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.746930] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.753229] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.759525] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.765814] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.772109] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.778405] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.784693] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.790986] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.797278] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.803573] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.809867] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.816165] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.822459] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.828752] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.835042] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.841335] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.847625] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.853915] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.860216] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.866509] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.872799] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.879095] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.885386] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.891680] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.897973] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.904267] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.910564] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.916856] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.923154] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.929448] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.935741] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.942035] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.948332] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.954626] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.960921] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.967218] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.973510] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.979796] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.986087] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.992372] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.998657] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.004945] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.011234] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.017519] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.023810] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.030100] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.036387] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.042676] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.048964] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.055253] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    3.061540] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    3.067831] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
