at] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.057214] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.063575] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.069943] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.076311] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.082673] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.089040] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.095405] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.101770] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.108139] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.114502] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.120862] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.127235] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.133600] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.139961] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.146326] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.152694] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.159060] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.165426] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.171787] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.178157] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.184517] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.190877] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.197246] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.203602] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
