0.00	0.00
0.00	0.00
51746.46	55161732.00
233586.80	249003536.00
276873.66	295147328.00
289323.16	308418496.00
292363.31	311659328.00
293505.88	312877280.00
293913.19	313311456.00
293665.31	313047200.00
294232.88	313652224.00
293747.69	313135040.00
293906.69	313304576.00
293909.38	313307392.00
293179.16	312528992.00
293689.88	313073440.00
293633.12	313012896.00
293696.75	313080704.00
293864.53	313259584.00
293801.38	313192256.00
294464.84	313899520.00
294772.97	314227968.00
294802.75	314259712.00
294286.25	313709120.00
293591.50	312968576.00
293722.91	313108640.00
293777.91	313167264.00
293809.03	313200416.00
293556.59	312931360.00
294087.16	313496928.00
293622.97	313002112.00
293969.00	313370976.00
294155.25	313569472.00
294103.09	313513920.00
294656.06	314103360.00
294347.19	313774080.00
294212.84	313630880.00
293204.97	312556480.00
294353.94	313781312.00
294222.06	313640768.00
294432.25	313864768.00
294438.69	313871616.00
294161.88	313576576.00
293973.06	313375296.00
293752.88	313140544.00
293890.44	313287232.00
293431.88	312798400.00
294390.00	313819744.00
294206.94	313624640.00
293996.06	313399808.00
294177.94	313593696.00
294054.50	313462080.00
293801.16	313192064.00
293657.47	313038912.00
293982.81	313385664.00
293505.31	312876672.00
293310.50	312669024.00
293973.94	313376192.00
294185.72	313601984.00
294725.94	314177856.00
294726.03	314177952.00
293875.25	313271008.00
293677.34	313060064.00
294397.88	313828128.00
294418.44	313850048.00
293247.56	312601856.00
293745.25	313132416.00
294458.25	313892512.00
294140.75	313554048.00
293751.69	313139296.00
293793.75	313184128.00
293365.19	312727264.00
