0.00	0.00
0.00	0.00
121120.97	129114952.00
564856.25	602136768.00
674148.31	718642112.00
702585.62	748956288.00
710510.38	757404032.00
712831.88	759878784.00
712973.88	760030080.00
712528.75	759555712.00
712228.19	759235200.00
712249.06	759257472.00
712062.25	759058432.00
711728.12	758702208.00
710858.25	757774976.00
712290.56	759301760.00
712697.19	759735168.00
713662.31	760764032.00
714623.06	761788160.00
713423.25	760509184.00
715332.38	762544320.00
714660.38	761827904.00
714485.38	761641344.00
714975.50	762163840.00
712362.38	759378176.00
714442.12	761595264.00
715491.12	762713472.00
715172.00	762373376.00
715289.00	762498112.00
713974.25	761096576.00
714461.56	761616000.00
714631.38	761796992.00
714965.12	762152832.00
714518.88	761677056.00
713128.62	760195008.00
712711.50	759750464.00
713475.50	760564800.00
713615.25	760713856.00
712931.81	759985280.00
713965.75	761087488.00
712822.69	759868928.00
714029.69	761155584.00
713803.44	760914432.00
714707.44	761878080.00
713819.12	760931136.00
712793.50	759837760.00
711908.75	758894720.00
712074.25	759071104.00
712735.88	759776512.00
712857.62	759906176.00
710964.75	757888512.00
712897.44	759948736.00
713184.94	760255104.00
712867.50	759916672.00
712792.88	759837184.00
711192.75	758131456.00
711078.75	758009920.00
711871.06	758854528.00
712783.25	759826944.00
712576.06	759606080.00
711475.69	758433152.00
711869.50	758852864.00
711390.88	758342656.00
711315.00	758261760.00
710969.50	757893568.00
711198.62	758137728.00
713863.62	760978688.00
713325.12	760404608.00
713344.12	760424832.00
713392.00	760475904.00
712007.25	758999744.00
712677.56	759714304.00
